time,particles 03um,particles 05um,particles 10um,particles 25um,particles 50um,particles 100um,Temperature C,Gas Ohm,Humidity %%,Pressure hPa,Altitude meters
1771456797.3207219,174,40,7,1,0,0,34.20578125,559853,100,722.9113071253112,2758.687266796297
1771456798.331532,174,40,7,1,0,0,21.753046875,128932,37.98559873143163,1003.9904746457245,77.37867834093966
1771456799.3423245,174,40,7,1,0,0,21.7919140625,142252,37.95423576739368,1003.9989075881665,77.30794472556751
1771456800.353132,219,57,8,1,0,0,21.8378125,153528,37.90007934706509,1004.0060024858108,77.2484347001833
1771456801.365269,219,57,8,1,0,0,21.8801953125,164566,37.81034666102677,1004.0092157535053,77.22148281774287
1771456802.3773575,219,57,8,1,0,0,21.9188671875,174332,37.73202342898915,1004.0154972589554,77.1687957202529
1771456803.3894923,213,57,9,1,0,0,21.9516796875,188968,37.65901368584646,1004.0141076594309,77.18045117797749
1771456804.4016607,213,57,9,1,0,0,21.9790234375,196579,37.58548657911952,1004.0147622538057,77.1749606757219
1771456805.4130325,213,57,9,1,0,0,22.003046875,203147,37.505796399842865,1004.0118575077037,77.19932466371627
1771456806.425173,228,62,9,1,0,0,22.02453125,208651,37.431748476039026,1004.0102911836622,77.21246246220736
1771456807.4373612,228,62,9,1,0,0,22.04328125,214329,37.35746007505444,1004.0206473742628,77.12559853151888
1771456808.4495268,228,62,9,1,0,0,22.0596875,218106,37.29467908574552,1004.0253938645868,77.08578695295971
1771456809.4616957,216,61,10,1,0,0,22.0735546875,222304,37.249226102934344,1004.0296645512187,77.04996634729883
1771456810.4739118,216,61,10,1,0,0,22.0856640625,225486,37.19775987073091,1004.0274572137246,77.06848048962894
1771456811.4860783,216,61,10,1,0,0,22.09640625,228308,37.15787212159919,1004.0230371589251,77.1055539967693
1771456812.4983559,231,68,10,1,0,0,22.1065625,232287,37.12378361458487,1004.024935331219,77.08963293269824
1771456813.5105014,231,68,10,1,0,0,22.114765625,234013,37.095355818143204,1004.0273066738637,77.0697431506684
1771456814.5226455,231,68,10,1,0,0,22.1223828125,236246,37.07856746336231,1004.0269130491135,77.07304469979819
1771456815.5347955,237,70,7,1,0,0,22.1282421875,237541,37.04991557356052,1004.0273088392053,77.06972498875369
1771456816.5456774,237,70,7,1,0,0,22.1333203125,240342,37.02119148230783,1004.0300741274461,77.04653101192872
1771456817.5578322,237,70,7,1,0,0,22.139375,242869,37.010099940939625,1004.0235184202262,77.10151737880099
1771456818.569933,228,70,7,1,0,0,22.1440625,243894,36.9871872134027,1004.018384231636,77.14458088036689
1771456819.5821002,228,70,7,1,0,0,22.149921875,245623,36.97023561859557,1004.0133288825652,77.18698328208959
1771456820.5942495,228,70,7,1,0,0,22.1551953125,246496,36.935702605351615,1004.0164096361505,77.16114303776347
1771456821.6064901,219,68,7,1,0,0,22.1587109375,248084,36.94189032981949,1004.014829708282,77.1743948919914
1771456822.6186173,219,68,7,1,0,0,22.1628125,250596,36.92476996935892,1004.0196482354345,77.13397891015377
1771456823.6307504,219,68,7,1,0,0,22.1669140625,251871,36.91349189542258,1004.0171992108283,77.15452038191654
1771456824.6428685,219,66,7,1,0,0,22.171015625,251505,36.902214519710725,1004.0165669764638,77.15982332597497
1771456825.6545792,219,66,7,1,0,0,22.17609375,252238,36.902714197004904,1004.0265990381624,77.07567848458315
1771456826.6667776,219,66,7,1,0,0,22.179609375,252974,36.89721984492221,1004.0304695491498,77.04321439921543
1771456827.6793096,240,70,11,1,0,0,22.1821484375,254087,36.903310001536674,1004.0236755696294,77.10019927585027
1771456828.6915033,240,70,11,1,0,0,22.1852734375,254460,36.89193701038735,1004.0250971399012,77.08827575123402
1771456829.7037063,240,70,11,1,0,0,22.188203125,257868,36.89806543734172,1004.0225688280453,77.10948216128914
1771456830.7160382,198,56,11,1,0,0,22.1923046875,257868,36.886788790651835,1004.0237531743833,77.09954835994839
1771456831.72691,198,56,11,1,0,0,22.196015625,257677,36.89299394092201,1004.01340374445,77.18635536697388
1771456832.7376823,198,56,11,1,0,0,22.199140625,259801,36.88162145304894,1004.0239099769217,77.09823316660449
1771456833.7484684,303,89,16,1,0,0,22.20265625,260779,36.87612760427417,1004.0223292952288,77.11149126344307
1771456834.7592924,303,89,16,1,0,0,22.2065625,260975,36.87651185149385,1004.0195634556778,77.1346900093067
1771456835.7700775,303,89,16,1,0,0,22.2106640625,261369,36.841881170314934,1004.0261985037195,77.0790379910635
1771456836.7814875,303,89,19,4,0,0,22.214765625,261962,36.818932481107204,1004.0255654854315,77.0843474718436
1771456837.793112,303,89,19,4,0,0,22.217890625,263556,36.81923952124905,1004.0233526276465,77.10290797725375
1771456838.8052413,303,89,19,4,0,0,22.221015625,264360,36.802034761868505,1004.0302248877883,77.04526650441113
1771456839.8174565,303,90,19,4,0,0,22.22453125,263756,36.79070655346801,1004.0286438447065,77.05852756490083
1771456840.8295045,303,90,19,4,0,0,22.2274609375,264360,36.76764972663189,1004.0333831031368,77.01877690066962
1771456841.8416238,303,90,19,4,0,0,22.231171875,265575,36.73883807402116,1004.0357520402492,76.99890743053899
1771456842.8537936,288,87,17,3,0,0,22.2348828125,265983,36.72753319485068,1004.0381209433891,76.97903828330591
1771456843.8659651,288,87,17,3,0,0,22.238203125,265372,36.7220246649548,1004.0289554044871,77.05591434375589
1771456844.8780234,288,87,17,3,0,0,22.2409375,266802,36.687292316866504,1004.0333786405556,77.01881433062297
1771456845.8895915,294,89,21,3,0,0,22.24484375,265575,36.68767508646404,1004.0342462456184,77.01153728502837
1771456846.901848,294,89,21,3,0,0,22.24796875,264562,36.71131443905395,1004.0302157961122,77.04534276115196
1771456847.9139597,294,89,21,3,0,0,22.2516796875,266187,36.75835557204729,1004.0289502059294,77.05595794687585
1771456848.9261074,312,94,25,4,0,0,22.25578125,265372,36.79961279948481,1004.0228650149143,77.10699786891912
1771456849.9379385,312,94,25,4,0,0,22.2596875,265983,36.8350237991834,1004.0328180434861,77.02351634650867
1771456850.9500659,312,94,25,4,0,0,22.2622265625,267626,36.86446907705005,1004.0314737856995,77.03479133644488
1771456851.9621737,312,92,25,4,0,0,22.264765625,268040,36.87055872152345,1004.0283123294544,77.06130816414466
1771456852.9759424,312,92,25,4,0,0,22.26828125,269499,36.88842561953821,1004.0230961474157,77.10505922596226
1771456853.9881375,312,92,25,4,0,0,22.2704296875,270763,36.882796567596394,1004.01748552654,77.15211887430269
1771456855.0000663,327,97,28,4,0,0,22.2735546875,271186,36.88894478754598,1004.020723216757,77.12496239515417
1771456856.0121932,327,97,28,4,0,0,22.27609375,269290,36.871673534508304,1004.0211959173067,77.12099757376392
1771456857.0250928,327,97,28,4,0,0,22.278046875,272466,36.84850712272383,1004.0189036141668,77.14022450123109
1771456858.0372589,318,95,25,4,0,0,22.28078125,270974,36.84877610257652,1004.0124233721336,77.19457838755639
1771456859.0493753,318,95,25,4,0,0,22.284296875,270551,36.831605063244226,1004.0162927927934,77.16212307631754
1771456860.0615134,318,95,25,4,0,0,22.286640625,272680,36.82599699678742,1004.0237183201477,77.09984070255189
1771456861.0736485,384,109,27,4,0,0,22.289765625,272680,36.820465908681754,1004.0287731259004,77.05744321320998
1771456862.0857265,384,109,27,4,0,0,22.2923046875,271825,36.80903941954622,1004.0256112140225,77.08396392031169
1771456863.0978467,384,109,27,4,0,0,22.2958203125,272895,36.79770966557932,1004.0258461036517,77.08199376850247
1771456864.1100554,300,82,22,4,0,0,22.298359375,273110,36.7979591897443,1004.0317703494635,77.03230390070102
1771456865.1223233,300,82,22,4,0,0,22.30109375,272038,36.792390518293125,1004.03255875376,77.02569114348425
1771456866.1341321,300,82,22,4,0,0,22.3036328125,273541,36.7984774538305,1004.0348484783565,77.0064860552865
1771456867.1463087,282,77,19,1,0,0,22.306171875,272680,36.79288953700592,1004.0316863655016,77.03300831815125
1771456868.1584513,282,77,19,1,0,0,22.3083203125,275717,36.787263401454375,1004.0351614890226,77.0038606779157
1771456869.1705956,282,77,19,1,0,0,22.311640625,274843,36.77007906782303,1004.0296283941601,77.05026961598436
1771456870.1827333,318,86,21,1,0,0,22.314375,276598,36.741167600752874,1004.0322339424471,77.02841550452845
1771456871.195253,318,86,21,1,0,0,22.3173046875,274190,36.723949717563514,1004.0333380898359,77.01915445029249
1771456872.207507,318,86,21,1,0,0,22.31984375,275061,36.70669530030708,1004.0501662066104,76.87800936686897
1771456873.2197337,312,84,20,1,0,0,22.322578125,275498,36.67779516720447,1004.0545890987518,76.84091287297888
1771456874.2323065,312,84,20,1,0,0,22.324921875,275498,36.660526494113995,1004.049293507073,76.88532904845594
1771456875.2445004,312,84,20,1,0,0,22.3274609375,276819,36.65494291938167,1004.0461311052537,76.91185342603195
1771456876.2566006,297,79,17,1,0,0,22.33,276598,36.64352751809193,1004.0447859931469,76.9231354604729
1771456877.2724385,297,79,17,1,0,0,22.3315625,277040,36.637848802324996,1004.0473133151801,76.90193773242382
1771456878.284575,297,79,17,1,0,0,22.3341015625,277929,36.6147724558801,1004.0568722813533,76.82176299600135
1771456879.296701,297,80,16,0,0,0,22.337421875,277484,36.62092851704984,1004.0531560576621,76.85293232410666
1771456880.3087964,297,80,16,0,0,0,22.339375,276377,36.61528877480115,1004.0508630991295,76.87216425306053
1771456881.3209357,297,80,16,0,0,0,22.341328125,277929,36.62131103586901,1004.044935360411,76.92188265230732
1771456882.3330765,303,82,15,0,0,0,22.3438671875,276157,36.615728624916265,1004.0526769680783,76.85695063057258
1771456883.3452127,303,82,15,0,0,0,22.34640625,276598,36.61014637823858,1004.0531490513084,76.85299108905055
1771456884.3573859,303,82,15,0,0,0,22.349921875,277484,36.604659898572386,1004.0497484657587,76.88151312655847
1771456885.3695126,309,82,12,0,0,0,22.35109375,277040,36.61060532759454,1004.0443743119249,76.92658841059676
1771456886.381203,309,82,12,0,0,0,22.3532421875,277929,36.61664664080154,1004.0442144738995,76.9279290422028
1771456887.3932638,309,82,12,0,0,0,22.3555859375,279272,36.61104517556873,1004.0425531049684,76.94186368212175
1771456888.405459,297,80,11,0,0,0,22.357734375,277929,36.60542475630649,1004.0387583759825,76.97369183140512
1771456889.4175756,297,80,11,0,0,0,22.3596875,277706,36.611446794276624,1004.0346477010155,77.00817007584567
1771456890.4298253,297,80,11,0,0,0,22.361640625,278152,36.62330039038891,1004.0305369847833,77.04264878069381
1771456891.4406853,231,66,9,0,0,0,22.362421875,277706,36.61171454983048,1004.0281657135447,77.06253791198723
1771456892.4515305,231,66,9,0,0,0,22.3641796875,279949,36.60605581185898,1004.0346436694665,77.00820389047638
1771456893.4623468,231,66,9,0,0,0,22.3657421875,279048,36.600378133081,1004.0389883047702,76.97176330941745
1771456894.4731238,225,65,11,0,0,0,22.367890625,278823,36.60058847076423,1004.0424632031483,76.94261772919431
1771456895.4839349,225,65,11,0,0,0,22.3704296875,278823,36.58334620605952,1004.0374826243622,76.98439217290448
1771456896.4962392,225,65,11,0,0,0,22.3723828125,278375,36.595197752495125,1004.0424590617672,76.94265246482229
1771456897.5083644,243,71,12,0,0,0,22.3735546875,278599,36.58365204952481,1004.0479893819207,76.89626727958776
1771456898.520564,243,71,12,0,0,0,22.374921875,280629,36.60127688228756,1004.039295866233,76.969183645852
1771456899.53267,243,71,12,0,0,0,22.375703125,280629,36.589692451711585,1004.040559451683,76.95858536331424
1771456900.5447478,222,67,13,0,0,0,22.37765625,280857,36.58405348451958,1004.0400834642403,76.96257769149342
1771456901.5569692,222,67,13,0,0,0,22.3790234375,282690,36.5783573510307,1004.0368422932277,76.98976294178486
1771456902.5690897,222,67,13,0,0,0,22.3801953125,281085,36.59013218666738,1004.0296502421846,77.05008636485813
1771456903.581214,237,70,13,0,0,0,22.3821484375,281085,36.59032338233949,1004.0400791111589,76.96261420282173
1771456904.593037,237,70,13,0,0,0,22.3848828125,279723,36.58476081740884,1004.04086663336,76.95600888845567
1771456905.6051345,237,70,13,0,0,0,22.3868359375,282459,36.5849519978028,1004.0349380547386,77.00573473319608
1771456906.6163676,237,70,12,0,0,0,22.3883984375,281313,36.58510494498036,1004.0356476726355,76.99978281354453
1771456907.6284924,237,70,12,0,0,0,22.3899609375,282920,36.57359794064642,1004.0309047518342,77.03956412342048
1771456908.6405861,237,70,12,0,0,0,22.39171875,283152,36.562110856863335,1004.0301127140219,77.04620736568958
1771456909.6523345,228,64,9,0,0,0,22.39328125,282690,36.55643449046486,1004.0326398112353,77.02501127248901
1771456910.6644678,228,64,9,0,0,0,22.3938671875,282229,36.55066278455786,1004.0263173883257,77.0780408392391
1771456911.6760561,228,64,9,0,0,0,22.3938671875,282459,36.544833979096765,1004.0208648257237,77.12377463614555
1771456912.688182,207,59,9,0,0,0,22.394453125,283383,36.53906269528151,1004.0254475209675,77.0853369065158
1771456913.7002838,207,59,9,0,0,0,22.394453125,281313,36.53906269528151,1004.0309000891883,77.03960323149815
1771456914.7124934,207,59,9,0,0,0,22.3954296875,281999,36.52750165496926,1004.0233918934455,77.10257863222314
1771456915.7246385,195,58,10,0,0,0,22.3950390625,284313,36.52746346472523,1004.0245776505309,77.09263300473475
1771456916.7366593,195,58,10,0,0,0,22.39484375,283383,36.52161643994293,1004.0224442428746,77.11052713010373
1771456917.7488298,195,58,10,0,0,0,22.3950390625,284313,36.50415306814589,1004.0245776505309,77.09263300473475
1771456918.760965,186,54,10,0,0,0,22.3954296875,284780,36.50419123852726,1004.0252094187282,77.08733400494518
1771456919.7730398,186,54,10,0,0,0,22.3954296875,283383,36.475058213839596,1004.0252094187282,77.08733400494518
1771456920.7851796,186,54,10,0,0,0,22.3954296875,284546,36.44593074011284,1004.0270269441022,77.07208939924358
1771456921.7959988,192,54,10,0,0,0,22.396015625,286428,36.43433847136724,1004.0207044905558,77.1251194629984
1771456922.8067894,192,54,10,0,0,0,22.3966015625,285015,36.422747061330696,1004.018017081482,77.1476603944995
1771456923.8175535,192,54,10,0,0,0,22.39640625,283383,36.411080326897846,1004.0140661448561,77.18079938740019
1771456924.8283448,192,54,8,0,0,0,22.39640625,285484,36.39361046656076,1004.0158836724065,77.16555462644614
1771456925.8391755,192,54,8,0,0,0,22.3969921875,284546,36.37619969712985,1004.0186488444197,77.14236141078885
1771456926.850441,192,54,8,0,0,0,22.3966015625,285719,36.38780665964017,1004.018017081482,77.1476603944995
1771456927.8622074,192,53,7,0,0,0,22.3966015625,286665,36.358695764281975,1004.014382025163,77.17814989650951
1771456928.8743112,192,53,7,0,0,0,22.3969921875,287140,36.34709099731464,1004.0168313150878,77.1576061526864
1771456929.8865407,192,53,7,0,0,0,22.397578125,284313,36.32968547518568,1004.0159614270488,77.16490244924657
1771456930.8982625,207,55,4,0,0,0,22.397578125,286665,36.318044866850194,1004.0214140201147,77.11916821596971
1771456931.9103806,207,55,4,0,0,0,22.3973828125,286902,36.3063861454632,1004.0229156686422,77.10657300656037
1771456932.922379,207,55,4,0,0,0,22.3969921875,287378,36.3063481431746,1004.025918962662,77.08138265896243
1771456933.9344604,198,54,5,0,0,0,22.3973828125,286191,36.312205892051644,1004.0283682611154,77.0608390347445
1771456934.946574,198,54,5,0,0,0,22.397578125,285719,36.318044866850194,1004.0141438962097,77.18014723682658
1771456935.9586968,198,54,5,0,0,0,22.3985546875,286191,36.335601181126,1004.0157232958626,77.16689980574593
1771456936.9707048,222,57,6,1,0,0,22.4001171875,285719,36.34739529827639,1004.0164327984504,77.16094876103023
1771456937.9826274,222,57,6,1,0,0,22.40109375,286665,36.347490394402726,1004.0343700680841,77.01049872335413
1771456938.9947047,222,57,6,1,0,0,22.4016796875,285484,36.35336880805696,1004.0298650929335,77.04828429629762
1771456940.0067515,228,62,7,1,0,0,22.4020703125,287378,36.353406851989725,1004.0232266832413,77.10396434609734
1771456941.01887,228,62,7,1,0,0,22.403046875,287855,36.34768058962072,1004.0211709952628,77.12120660977205
1771456942.030936,228,62,7,1,0,0,22.40421875,287378,36.35361609644721,1004.0230662754589,77.10530977945109
1771456943.0430975,252,70,7,1,0,0,22.404609375,287617,36.347832748641814,1004.0218804847748,77.11525570087332
1771456944.0550897,252,70,7,1,0,0,22.4055859375,287855,36.33046496597158,1004.0198247757658,77.13249815966068
1771456945.06587,252,70,7,1,0,0,22.406171875,287140,36.342163719589614,1004.0225899668588,77.10930485768314
